zaxis,yaxis,H,B,C,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Se,Ag,Sb,Ba,Pb,Bi,U,REE
Si,P,0.010968921389396709,0.0018281535648994515,0.003656307129798903,0.02437538086532602,0.009750152346130409,0.01157830591102986,0.002437538086532602,0.006093845216331505,0.025594149908592323,0.025594149908592323,0.0018281535648994515,0.0006093845216331506,0.0018281535648994515,0.015234613040828763,0.007921998781230956,0.0,0.005484460694698354,0.0042656916514320535,0.0006093845216331506,0.0,0.0006093845216331506,0.0,0.0,0.0,0.0,0.006093845216331505,0.0,0.0,0.0,0.004875076173065204
Si,S,0.026203534430225474,0.0018281535648994515,0.006703229737964655,0.04143814747105423,0.004875076173065204,0.021328458257160267,0.001218769043266301,0.025594149908592323,0.04143814747105423,0.0018281535648994515,0.04143814747105423,0.010359536867763558,0.015843997562461912,0.029250457038391225,0.001218769043266301,0.0,0.0018281535648994515,0.002437538086532602,0.0,0.0030469226081657527,0.0030469226081657527,0.0006093845216331506,0.0,0.0,0.0,0.0042656916514320535,0.0042656916514320535,0.0,0.0,0.001218769043266301
Si,Cl,0.03717245581962218,0.005484460694698354,0.004875076173065204,0.0578915295551493,0.005484460694698354,0.028641072516758074,0.006703229737964655,0.02254722730042657,0.0578915295551493,0.0006093845216331506,0.010359536867763558,0.0578915295551493,0.015843997562461912,0.03717245581962218,0.007312614259597806,0.0018281535648994515,0.014625228519195612,0.019500304692260818,0.0,0.001218769043266301,0.0006093845216331506,0.0018281535648994515,0.0,0.0,0.0,0.009750152346130409,0.006703229737964655,0.0,0.0,0.002437538086532602
Si,K,0.13772090188909203,0.006703229737964655,0.0042656916514320535,0.19744058500914077,0.039609993906154786,0.11273613650213285,0.039609993906154786,0.09506398537477148,0.19987812309567338,0.0018281535648994515,0.015843997562461912,0.015843997562461912,0.19987812309567338,0.08897014015843997,0.042656916514320534,0.0018281535648994515,0.031078610603290677,0.04570383912248629,0.0,0.002437538086532602,0.008531383302864107,0.0006093845216331506,0.0,0.0,0.0,0.025594149908592323,0.0018281535648994515,0.0,0.0018281535648994515,0.008531383302864107
Si,Ca,0.3028641072516758,0.031078610603290677,0.02315661182205972,0.44789762340036565,0.07312614259597806,0.1675807434491164,0.08348567946374162,0.19926873857404023,0.44789762340036565,0.015234613040828763,0.029250457038391225,0.03717245581962218,0.08897014015843997,0.44789762340036565,0.05240706886045095,0.010359536867763558,0.07434491163924437,0.11639244363193176,0.0,0.007312614259597806,0.008531383302864107,0.003656307129798903,0.0,0.0,0.0006093845216331506,0.027422303473491772,0.01157830591102986,0.0,0.004875076173065204,0.061547836684948204
Si,Ti,0.08957952468007313,0.005484460694698354,0.002437538086532602,0.14625228519195613,0.04143814747105423,0.09140767824497258,0.019500304692260818,0.017672151127361365,0.14990859232175502,0.007921998781230956,0.001218769043266301,0.007312614259597806,0.042656916514320534,0.05240706886045095,0.14990859232175502,0.001218769043266301,0.031687995124923825,0.05240706886045095,0.0,0.0006093845216331506,0.004875076173065204,0.001218769043266301,0.0,0.0,0.0,0.038391224862888484,0.0,0.0,0.0,0.02254722730042657
Si,V,0.018281535648994516,0.002437538086532602,0.001218769043266301,0.028031687995124923,0.001218769043266301,0.006093845216331505,0.006703229737964655,0.009750152346130409,0.028031687995124923,0.0,0.0,0.0018281535648994515,0.0018281535648994515,0.010359536867763558,0.001218769043266301,0.028031687995124923,0.007921998781230956,0.0030469226081657527,0.0006093845216331506,0.0006093845216331506,0.0006093845216331506,0.0018281535648994515,0.0,0.0,0.0,0.005484460694698354,0.001218769043266301,0.0,0.0,0.0018281535648994515
Si,Mn,0.14198659354052406,0.009750152346130409,0.003656307129798903,0.18647166361974407,0.02437538086532602,0.07190737355271176,0.032297379646556976,0.04082876294942109,0.18769043266301036,0.005484460694698354,0.0018281535648994515,0.014625228519195612,0.031078610603290677,0.07434491163924437,0.031687995124923825,0.007921998781230956,0.18769043266301036,0.055453991468616695,0.0,0.0018281535648994515,0.010968921389396709,0.010359536867763558,0.0,0.0,0.003656307129798903,0.015843997562461912,0.005484460694698354,0.0,0.0,0.020719073735527116
Si,Fe,0.1712370505789153,0.018890920170627667,0.006093845216331505,0.25533211456429006,0.03656307129798903,0.09567336989640463,0.07982937233394272,0.09932967702620353,0.26142595978062155,0.0042656916514320535,0.002437538086532602,0.019500304692260818,0.04570383912248629,0.11639244363193176,0.05240706886045095,0.0030469226081657527,0.055453991468616695,0.26142595978062155,0.001218769043266301,0.0030469226081657527,0.005484460694698354,0.006093845216331505,0.0,0.0,0.002437538086532602,0.026203534430225474,0.006703229737964655,0.0006093845216331506,0.0,0.037781840341255334
Si,Ni,0.004875076173065204,0.0,0.0,0.005484460694698354,0.0,0.0,0.0018281535648994515,0.0018281535648994515,0.007312614259597806,0.0006093845216331506,0.0,0.0,0.0,0.0,0.0,0.0006093845216331506,0.0,0.001218769043266301,0.007312614259597806,0.0006093845216331506,0.0006093845216331506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Si,Cu,0.018890920170627667,0.0,0.001218769043266301,0.024984765386959172,0.0,0.002437538086532602,0.0018281535648994515,0.006093845216331505,0.024984765386959172,0.0,0.0030469226081657527,0.001218769043266301,0.002437538086532602,0.007312614259597806,0.0006093845216331506,0.0006093845216331506,0.0018281535648994515,0.0030469226081657527,0.0006093845216331506,0.024984765386959172,0.001218769043266301,0.0018281535648994515,0.0,0.0,0.0,0.002437538086532602,0.0042656916514320535,0.0,0.0006093845216331506,0.0006093845216331506
Si,Zn,0.02254722730042657,0.0,0.0,0.03290676416819013,0.001218769043266301,0.008531383302864107,0.007312614259597806,0.007921998781230956,0.03290676416819013,0.0006093845216331506,0.0030469226081657527,0.0006093845216331506,0.008531383302864107,0.008531383302864107,0.004875076173065204,0.0006093845216331506,0.010968921389396709,0.005484460694698354,0.0006093845216331506,0.001218769043266301,0.03290676416819013,0.0042656916514320535,0.0,0.0,0.0006093845216331506,0.0018281535648994515,0.003656307129798903,0.0,0.0,0.002437538086532602
