zaxis,yaxis,H,Li,Be,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Nd,Sm,Gd,Dy,Er,Yb,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U
H,H,1.0,0.019879518072289156,0.022289156626506025,0.06204819277108434,0.10271084337349398,0.04036144578313253,0.9930722891566265,0.07078313253012049,0.22289156626506024,0.17349397590361446,0.2743975903614458,0.32319277108433736,0.16114457831325302,0.16656626506024097,0.07530120481927711,0.11325301204819277,0.31265060240963854,0.0024096385542168677,0.061746987951807226,0.05753012048192771,0.014156626506024096,0.14487951807228916,0.23885542168674698,0.012048192771084338,0.0213855421686747,0.11325301204819277,0.07198795180722892,0.0015060240963855422,0.0033132530120481927,0.12228915662650602,0.00783132530120482,0.0018072289156626507,0.0006024096385542169,0.03283132530120482,0.02319277108433735,0.024096385542168676,0.033433734939759034,0.01536144578313253,0.0,0.0,0.0,0.0012048192771084338,0.0036144578313253013,0.0006024096385542169,0.008132530120481927,0.01144578313253012,0.016265060240963854,0.00391566265060241,0.004819277108433735,0.05,0.014457831325301205,0.03102409638554217,0.010843373493975903,0.0015060240963855422,0.0012048192771084338,0.0009036144578313253,0.00030120481927710846,0.0009036144578313253,0.0,0.004216867469879518,0.007530120481927711,0.0,0.0,0.0,0.0,0.0,0.00391566265060241,0.002108433734939759,0.07439759036144579,0.01325301204819277,0.008132530120481927,0.08524096385542168
H,Li,0.019879518072289156,0.019879518072289156,0.002108433734939759,0.0030120481927710845,0.0009036144578313253,0.0,0.019879518072289156,0.004819277108433735,0.008734939759036145,0.0033132530120481927,0.009939759036144578,0.014457831325301205,0.00391566265060241,0.00030120481927710846,0.0006024096385542169,0.00391566265060241,0.004518072289156626,0.0,0.002108433734939759,0.0,0.0,0.0033132530120481927,0.004518072289156626,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.00030120481927710846,0.0006024096385542169,0.0009036144578313253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006024096385542169,0.0006024096385542169,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.00030120481927710846
H,Be,0.022289156626506025,0.002108433734939759,0.022289156626506025,0.0015060240963855422,0.00030120481927710846,0.0,0.022289156626506025,0.0024096385542168677,0.005421686746987952,0.0018072289156626507,0.004819277108433735,0.01144578313253012,0.008433734939759036,0.0,0.00030120481927710846,0.0018072289156626507,0.012349397590361445,0.0,0.0,0.0,0.0,0.004216867469879518,0.0033132530120481927,0.0,0.0,0.0,0.0009036144578313253,0.0,0.0,0.0009036144578313253,0.0,0.0,0.0,0.0,0.0009036144578313253,0.0009036144578313253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006024096385542169,0.0,0.0,0.0,0.00030120481927710846,0.0012048192771084338,0.00030120481927710846,0.0012048192771084338,0.0006024096385542169,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0006024096385542169,0.00030120481927710846
H,B,0.06204819277108434,0.0030120481927710845,0.0015060240963855422,0.06204819277108434,0.004216867469879518,0.0009036144578313253,0.061746987951807226,0.006024096385542169,0.01566265060240964,0.018674698795180723,0.018072289156626505,0.025,0.0009036144578313253,0.002710843373493976,0.009036144578313253,0.0033132530120481927,0.028012048192771085,0.0,0.0015060240963855422,0.0012048192771084338,0.0012048192771084338,0.0051204819277108436,0.006024096385542169,0.0,0.0,0.0012048192771084338,0.0,0.0,0.0,0.0006024096385542169,0.0,0.0,0.00030120481927710846,0.002710843373493976,0.0012048192771084338,0.0006024096385542169,0.0006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.00030120481927710846,0.0018072289156626507,0.0006024096385542169,0.002108433734939759,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015060240963855422,0.0,0.0006024096385542169,0.00030120481927710846
H,C,0.10271084337349398,0.0009036144578313253,0.00030120481927710846,0.004216867469879518,0.10271084337349398,0.0069277108433734936,0.09849397590361446,0.005421686746987952,0.02078313253012048,0.018373493975903616,0.016566265060240965,0.014759036144578313,0.006626506024096385,0.010843373493975903,0.0069277108433734936,0.004518072289156626,0.03313253012048193,0.0,0.0006024096385542169,0.0018072289156626507,0.0015060240963855422,0.00572289156626506,0.0069277108433734936,0.0012048192771084338,0.004216867469879518,0.011746987951807229,0.0051204819277108436,0.0,0.00030120481927710846,0.0012048192771084338,0.0,0.0,0.0,0.00391566265060241,0.009337349397590362,0.002710843373493976,0.0012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006024096385542169,0.0,0.0,0.004216867469879518,0.005421686746987952,0.006626506024096385,0.005421686746987952,0.0009036144578313253,0.0012048192771084338,0.0009036144578313253,0.00030120481927710846,0.00030120481927710846,0.0,0.00030120481927710846,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0009036144578313253,0.0,0.008433734939759036,0.0,0.0006024096385542169,0.012349397590361445
H,N,0.04036144578313253,0.0,0.0,0.0009036144578313253,0.0069277108433734936,0.04036144578313253,0.03765060240963856,0.0015060240963855422,0.0069277108433734936,0.004518072289156626,0.007530120481927711,0.0030120481927710845,0.006325301204819277,0.016566265060240965,0.007530120481927711,0.005421686746987952,0.0024096385542168677,0.0,0.0,0.0024096385542168677,0.0,0.0006024096385542169,0.00572289156626506,0.00030120481927710846,0.0015060240963855422,0.00391566265060241,0.00030120481927710846,0.0,0.0,0.0024096385542168677,0.0,0.0012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.00030120481927710846,0.0,0.0006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015060240963855422,0.0,0.0012048192771084338,0.0006024096385542169,0.0,0.0036144578313253013
H,O,0.9930722891566265,0.019879518072289156,0.022289156626506025,0.061746987951807226,0.09849397590361446,0.03765060240963856,0.9930722891566265,0.06987951807228916,0.22289156626506024,0.17349397590361446,0.2743975903614458,0.3225903614457831,0.16114457831325302,0.16656626506024097,0.07379518072289157,0.11325301204819277,0.31265060240963854,0.0024096385542168677,0.061746987951807226,0.0572289156626506,0.014156626506024096,0.14487951807228916,0.23885542168674698,0.012048192771084338,0.02108433734939759,0.11295180722891567,0.07198795180722892,0.0015060240963855422,0.0033132530120481927,0.12228915662650602,0.00783132530120482,0.0018072289156626507,0.0006024096385542169,0.03283132530120482,0.02319277108433735,0.024096385542168676,0.033433734939759034,0.01536144578313253,0.0,0.0,0.0,0.0012048192771084338,0.0036144578313253013,0.0006024096385542169,0.00783132530120482,0.01144578313253012,0.016265060240963854,0.00391566265060241,0.004819277108433735,0.05,0.014457831325301205,0.03102409638554217,0.010843373493975903,0.0015060240963855422,0.0012048192771084338,0.0009036144578313253,0.00030120481927710846,0.0009036144578313253,0.0,0.004216867469879518,0.007530120481927711,0.0,0.0,0.0,0.0,0.0,0.00391566265060241,0.002108433734939759,0.07409638554216867,0.012951807228915663,0.008132530120481927,0.08524096385542168
H,F,0.07078313253012049,0.004819277108433735,0.0024096385542168677,0.006024096385542169,0.005421686746987952,0.0015060240963855422,0.06987951807228916,0.07078313253012049,0.03042168674698795,0.01355421686746988,0.032228915662650605,0.03674698795180723,0.013855421686746987,0.008433734939759036,0.004518072289156626,0.012650602409638554,0.02891566265060241,0.0,0.014759036144578313,0.0018072289156626507,0.0015060240963855422,0.012048192771084338,0.014457831325301205,0.0,0.0,0.0018072289156626507,0.0009036144578313253,0.0,0.0,0.0009036144578313253,0.0,0.00030120481927710846,0.00030120481927710846,0.004518072289156626,0.004819277108433735,0.0015060240963855422,0.006325301204819277,0.0,0.0,0.0,0.0,0.00030120481927710846,0.00030120481927710846,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0018072289156626507,0.009939759036144578,0.0012048192771084338,0.006024096385542169,0.0012048192771084338,0.0,0.00030120481927710846,0.00030120481927710846,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024096385542168677,0.0,0.0012048192771084338,0.0030120481927710845
H,Na,0.22289156626506024,0.008734939759036145,0.005421686746987952,0.01566265060240964,0.02078313253012048,0.0069277108433734936,0.22289156626506024,0.03042168674698795,0.22289156626506024,0.0427710843373494,0.07319277108433735,0.13012048192771083,0.029819277108433736,0.03283132530120482,0.01716867469879518,0.05301204819277108,0.0891566265060241,0.00030120481927710846,0.03162650602409638,0.008734939759036145,0.002108433734939759,0.037048192771084336,0.05240963855421687,0.0009036144578313253,0.0006024096385542169,0.006024096385542169,0.004518072289156626,0.0,0.0,0.012650602409638554,0.0006024096385542169,0.0,0.0,0.014457831325301205,0.0069277108433734936,0.01957831325301205,0.017771084337349398,0.002108433734939759,0.0,0.0,0.0,0.0,0.0,0.0,0.0006024096385542169,0.002108433734939759,0.0,0.0009036144578313253,0.0015060240963855422,0.018674698795180723,0.0012048192771084338,0.008132530120481927,0.00030120481927710846,0.0,0.00030120481927710846,0.00030120481927710846,0.0,0.0,0.0,0.0009036144578313253,0.0015060240963855422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015060240963855422,0.00030120481927710846,0.0015060240963855422,0.010843373493975903
H,Mg,0.17349397590361446,0.0033132530120481927,0.0018072289156626507,0.018674698795180723,0.018373493975903616,0.004518072289156626,0.17349397590361446,0.01355421686746988,0.0427710843373494,0.17349397590361446,0.06536144578313254,0.06716867469879519,0.030120481927710843,0.020481927710843374,0.010542168674698794,0.021987951807228914,0.053313253012048194,0.0009036144578313253,0.0069277108433734936,0.008734939759036145,0.00391566265060241,0.02710843373493976,0.04879518072289157,0.0009036144578313253,0.0030120481927710845,0.006626506024096385,0.011144578313253013,0.0,0.0,0.01566265060240964,0.00030120481927710846,0.0,0.0,0.0036144578313253013,0.00030120481927710846,0.0009036144578313253,0.002108433734939759,0.0015060240963855422,0.0,0.0,0.0,0.0,0.0,0.0,0.0015060240963855422,0.0006024096385542169,0.002710843373493976,0.0009036144578313253,0.0,0.007228915662650603,0.0009036144578313253,0.0033132530120481927,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012048192771084338,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0030120481927710845,0.00030120481927710846,0.0,0.00783132530120482
