zaxis,yaxis,H,Na,K,Mg,Ca,Ba,Ti,V,Mn,Fe,Ni,Cu,Ag,Zn,B,Al,C,Si,Pb,REE,U,F,Cl,O,S,Se,P,As,Sb,Bi
As,V,0.009852217,0.001642036,0,0,0.006568144,0,0.003284072,0.014778325,0,0.001642036,0,0.003284072,0,0,0,0.001642036,0,0.001642036,0.001642036,0,0,0,0.001642036,0.011494253,0.003284072,0,0,0.014778325,0.001642036,0
As,Mn,0.082101806,0.013136289,0,0.013136289,0.02134647,0,0.001642036,0,0.093596059,0.011494253,0,0.003284072,0.003284072,0.009852217,0,0.006568144,0.003284072,0.02134647,0.008210181,0.004926108,0,0,0.001642036,0.090311987,0.003284072,0,0,0.093596059,0.004926108,0
As,Fe,0.141215107,0.02955665,0.004926108,0.014778325,0.044334975,0.004926108,0.009852217,0.001642036,0.011494253,0.197044335,0.003284072,0.044334975,0.001642036,0.031198686,0.003284072,0.016420361,0,0.013136289,0.02134647,0.008210181,0.004926108,0.006568144,0.006568144,0.172413793,0.027914614,0.004926108,0.001642036,0.197044335,0.004926108,0.008210181
As,Ni,0.018062397,0,0,0,0.004926108,0,0,0,0,0.003284072,0.054187192,0.001642036,0,0,0,0,0,0,0.001642036,0,0.004926108,0,0,0.024630542,0.008210181,0.001642036,0,0.054187192,0,0.004926108
As,Cu,0.139573071,0.022988506,0.013136289,0.009852217,0.041050903,0,0.001642036,0.003284072,0.003284072,0.044334975,0.001642036,0.239737274,0.016420361,0.024630542,0,0.026272578,0.001642036,0.004926108,0.02955665,0.008210181,0.003284072,0,0.019704433,0.172413793,0.062397373,0.004926108,0.001642036,0.239737274,0.011494253,0.006568144
As,Ag,0,0,0,0,0,0,0,0,0.003284072,0.001642036,0,0.016420361,0.062397373,0.003284072,0,0,0,0,0.022988506,0,0,0,0,0,0.0591133,0,0,0.062397373,0.019704433,0
As,Zn,0.083743842,0.001642036,0.003284072,0.006568144,0.016420361,0,0,0,0.009852217,0.031198686,0,0.024630542,0.003284072,0.105090312,0,0.004926108,0,0.009852217,0.016420361,0,0.001642036,0,0.001642036,0.095238095,0.009852217,0.001642036,0.001642036,0.105090312,0.003284072,0
As,B,0.003284072,0.003284072,0,0.001642036,0.006568144,0,0,0,0,0.003284072,0,0,0,0,0.008210181,0.003284072,0,0.003284072,0,0.003284072,0,0.003284072,0,0.008210181,0,0,0,0.008210181,0,0
As,Al,0.072249589,0.011494253,0.004926108,0.009852217,0.014778325,0.004926108,0.003284072,0.001642036,0.006568144,0.016420361,0,0.026272578,0,0.004926108,0.003284072,0.085385878,0,0.011494253,0.004926108,0.006568144,0.003284072,0.008210181,0.003284072,0.085385878,0.008210181,0,0,0.085385878,0,0
As,C,0.004926108,0.001642036,0,0,0.003284072,0,0,0,0.003284072,0,0,0.001642036,0,0,0,0,0.004926108,0,0,0,0,0,0,0.004926108,0,0,0,0.004926108,0,0
As,Si,0.026272578,0.006568144,0.001642036,0.006568144,0.006568144,0,0.003284072,0.001642036,0.02134647,0.013136289,0,0.004926108,0,0.009852217,0.003284072,0.011494253,0,0.036124795,0.001642036,0.004926108,0,0.003284072,0.001642036,0.036124795,0.001642036,0,0,0.036124795,0.001642036,0
As,Pb,0.067323481,0.004926108,0.001642036,0.001642036,0.004926108,0,0.001642036,0.001642036,0.008210181,0.02134647,0.001642036,0.02955665,0.022988506,0.016420361,0,0.004926108,0,0.001642036,0.172413793,0.001642036,0.004926108,0,0.026272578,0.090311987,0.088669951,0,0,0.172413793,0.042692939,0.008210181
As,REE,0.019704433,0.003284072,0,0,0.008210181,0,0.003284072,0,0.004926108,0.008210181,0,0.008210181,0,0,0.003284072,0.006568144,0,0.004926108,0.001642036,0.02955665,0.001642036,0.003284072,0,0.02955665,0,0,0,0.02955665,0,0
As,U,0.055829228,0.001642036,0.003284072,0.006568144,0.006568144,0.003284072,0.001642036,0,0,0.004926108,0.004926108,0.003284072,0,0.001642036,0,0.003284072,0,0,0.004926108,0.001642036,0.057471264,0.003284072,0,0.057471264,0,0,0,0.057471264,0,0.004926108
As,F,0.004926108,0.009852217,0,0.004926108,0.009852217,0,0,0,0,0.006568144,0,0,0,0,0.003284072,0.008210181,0,0.003284072,0,0.003284072,0.003284072,0.018062397,0,0.018062397,0,0,0,0.018062397,0,0
As,Cl,0.024630542,0.013136289,0.004926108,0,0.018062397,0.001642036,0,0.001642036,0.001642036,0.006568144,0,0.019704433,0,0.001642036,0,0.003284072,0,0.001642036,0.026272578,0,0,0,0.054187192,0.049261084,0.004926108,0,0,0.054187192,0.004926108,0.003284072
As,O,0.559934319,0.068965517,0.031198686,0.067323481,0.18226601,0.014778325,0.018062397,0.011494253,0.090311987,0.172413793,0.024630542,0.172413793,0,0.095238095,0.008210181,0.085385878,0.004926108,0.036124795,0.090311987,0.02955665,0.057471264,0.018062397,0.049261084,0.689655172,0.034482759,0,0.004926108,0.689655172,0.02134647,0.027914614
As,S,0.032840722,0.001642036,0.001642036,0,0.001642036,0.001642036,0,0.003284072,0.003284072,0.027914614,0.008210181,0.062397373,0.0591133,0.009852217,0,0.008210181,0,0.001642036,0.088669951,0,0,0,0.004926108,0.034482759,0.249589491,0.001642036,0,0.249589491,0.068965517,0.008210181
As,Se,0,0,0,0,0,0,0,0,0,0.004926108,0.001642036,0.004926108,0,0.001642036,0,0,0,0,0,0,0,0,0,0,0.001642036,0.009852217,0,0.009852217,0,0
As,P,0.004926108,0,0,0,0.003284072,0,0,0,0,0.001642036,0,0.001642036,0,0.001642036,0,0,0,0,0,0,0,0,0,0.004926108,0,0,0.004926108,0.004926108,0,0
As,As,0.559934319,0.068965517,0.031198686,0.067323481,0.18226601,0.014778325,0.018062397,0.014778325,0.093596059,0.197044335,0.054187192,0.239737274,0.062397373,0.105090312,0.008210181,0.085385878,0.004926108,0.036124795,0.172413793,0.02955665,0.057471264,0.018062397,0.054187192,0.689655172,0.249589491,0.009852217,0.004926108,1,0.093596059,0.037766831
As,Sb,0.011494253,0.004926108,0.001642036,0,0.003284072,0,0.001642036,0.001642036,0.004926108,0.004926108,0,0.011494253,0.019704433,0.003284072,0,0,0,0.001642036,0.042692939,0,0,0,0.004926108,0.02134647,0.068965517,0,0,0.093596059,0.093596059,0.001642036
As,Bi,0.02134647,0,0,0.001642036,0.001642036,0,0,0,0,0.008210181,0.004926108,0.006568144,0,0,0,0,0,0,0.008210181,0,0.004926108,0,0.003284072,0.027914614,0.008210181,0,0,0.037766831,0.001642036,0.037766831
Sb,H,0.12749004,0.023904382,0.007968127,0.007968127,0.011952191,0,0.011952191,0,0.003984064,0.023904382,0.007968127,0.027888446,0.003984064,0.011952191,0,0.019920319,0,0.007968127,0.015936255,0,0,0.003984064,0.011952191,0.12749004,0.039840637,0,0,0.027888446,0.12749004,0
Sb,Na,0.023904382,0.043824701,0.003984064,0,0.007968127,0,0.007968127,0,0.003984064,0.003984064,0,0.003984064,0,0,0,0,0,0,0,0,0,0.003984064,0.003984064,0.043824701,0.011952191,0,0,0.011952191,0.043824701,0
Sb,K,0.007968127,0.003984064,0.015936255,0,0,0,0,0,0,0.003984064,0,0.007968127,0.003984064,0,0,0,0,0,0.003984064,0,0,0,0,0.007968127,0.015936255,0,0,0.003984064,0.015936255,0
Sb,Mg,0.007968127,0,0,0.03187251,0.003984064,0,0,0,0.011952191,0.015936255,0,0,0,0.003984064,0.007968127,0.007968127,0,0.003984064,0,0,0,0,0,0.03187251,0,0,0,0,0.03187251,0
Sb,Ca,0.011952191,0.007968127,0,0.003984064,0.059760956,0,0.007968127,0,0.007968127,0.019920319,0,0.007968127,0,0,0,0.007968127,0,0.003984064,0.003984064,0,0,0.003984064,0.007968127,0.059760956,0.007968127,0,0,0.007968127,0.059760956,0
Sb,Ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sb,Ti,0.011952191,0.007968127,0,0,0.007968127,0,0.015936255,0,0.003984064,0.007968127,0,0.003984064,0,0,0,0,0,0,0,0,0,0,0,0.015936255,0,0,0,0.003984064,0.015936255,0
Sb,V,0,0,0,0,0,0,0,0.007968127,0,0,0,0.003984064,0,0,0,0,0,0,0,0,0,0,0,0.003984064,0.003984064,0,0,0.003984064,0.007968127,0
Sb,Mn,0.003984064,0.003984064,0,0.011952191,0.007968127,0,0.003984064,0,0.071713147,0.015936255,0,0,0.011952191,0.003984064,0.007968127,0.003984064,0,0.019920319,0.011952191,0,0,0,0,0.051792829,0.019920319,0,0,0.011952191,0.071713147,0
Sb,Fe,0.023904382,0.003984064,0.003984064,0.015936255,0.019920319,0,0.007968127,0,0.015936255,0.131474104,0.003984064,0.023904382,0.015936255,0.011952191,0.003984064,0.007968127,0,0.011952191,0.027888446,0,0,0,0,0.075697211,0.059760956,0,0,0.011952191,0.131474104,0.023904382
Sb,Ni,0.007968127,0,0,0,0,0,0,0,0,0.003984064,0.039840637,0.011952191,0,0,0,0,0,0,0,0,0,0,0,0.007968127,0.015936255,0,0,0,0.039840637,0.003984064
Sb,Cu,0.027888446,0.003984064,0.007968127,0,0.007968127,0,0.003984064,0.003984064,0,0.023904382,0.011952191,0.179282869,0.039840637,0,0,0.011952191,0,0,0.083665339,0,0,0.003984064,0.015936255,0.043824701,0.135458167,0.011952191,0,0.027888446,0.179282869,0.027888446
Sb,Ag,0.003984064,0,0.003984064,0,0,0,0,0,0.011952191,0.015936255,0,0.039840637,0.207171315,0.003984064,0,0,0,0,0.111553785,0,0,0,0.003984064,0.011952191,0.19123506,0.007968127,0,0.047808765,0.207171315,0.019920319
Sb,Zn,0.011952191,0,0,0.003984064,0,0,0,0,0.003984064,0.011952191,0,0,0.003984064,0.027888446,0,0.003984064,0,0.003984064,0.003984064,0,0,0,0,0.023904382,0.007968127,0,0,0.007968127,0.027888446,0
Sb,B,0,0,0,0.007968127,0,0,0,0,0.007968127,0.003984064,0,0,0,0,0.011952191,0.003984064,0,0,0,0,0,0,0,0.011952191,0,0,0,0,0.011952191,0
Sb,Al,0.019920319,0,0,0.007968127,0.007968127,0,0,0,0.003984064,0.007968127,0,0.011952191,0,0.003984064,0.003984064,0.035856574,0,0.007968127,0.003984064,0,0,0,0.003984064,0.035856574,0.007968127,0,0,0,0.035856574,0
Sb,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
