zaxis,yaxis,H,Li,Be,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Nd,Sm,Gd,Dy,Er,Yb,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U
Mg,O,523,20,16,93,68,14,744,84,203,744,259,305,111,72,44,91,231,6,55,31,25,72,198,2,5,29,29,0,0,65,1,0,0,11,4,10,8,8,0,0,0,0,0,0,4,8,9,3,2,25,4,16,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,9,1,0,23
Mg,F,35,8,0,12,3,0,84,90,35,90,39,51,11,8,2,14,36,0,3,3,0,3,19,0,0,1,0,0,0,8,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,6,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2
Mg,Na,129,11,3,15,10,2,203,35,206,206,83,111,31,17,7,43,80,2,17,11,8,19,59,0,0,7,1,0,0,25,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Mg,Mg,523,20,16,93,68,14,744,90,206,752,262,305,111,73,45,92,233,6,55,31,25,72,198,2,5,29,29,0,0,65,1,0,0,11,4,10,8,8,0,0,0,0,0,0,4,8,9,3,2,26,4,16,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,9,1,0,23
Mg,Al,194,6,9,31,9,2,259,39,83,262,262,165,29,20,9,36,111,2,24,7,5,26,82,0,1,4,13,0,0,9,0,0,0,4,1,5,2,2,0,0,0,0,0,0,3,2,0,0,0,10,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mg,Si,201,17,9,33,5,1,305,51,111,305,165,305,3,1,9,57,122,2,26,7,11,34,98,0,2,3,8,0,0,7,0,0,0,2,3,1,2,0,0,0,0,0,0,0,0,1,0,0,2,10,3,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,2
Mg,P,89,1,3,3,11,5,111,11,31,111,29,3,111,1,0,8,38,2,2,4,0,22,28,0,0,2,5,0,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Mg,S,61,0,0,1,6,4,72,8,17,73,20,1,1,73,5,14,8,0,0,1,0,0,16,0,1,7,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
Mg,Cl,35,1,0,11,5,2,44,2,7,45,9,9,0,5,45,6,12,0,2,0,1,3,6,0,0,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Mg,K,62,4,3,4,2,1,91,14,43,92,36,57,8,14,6,92,24,0,11,4,4,11,33,0,0,2,2,0,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Mg,Ca,158,3,6,23,19,0,231,36,80,233,111,122,38,8,12,24,233,4,14,9,7,19,71,1,1,6,3,0,0,27,0,0,0,3,3,5,2,2,0,0,0,0,0,0,1,1,0,1,0,7,3,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,5
